imputed_coat,resampled_imputed_coat
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Long,Long
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
Hairless,Hairless
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
Medium,Medium
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Short,Short
Medium,Medium
